timestamp,event,detail,confidence,match,reference_frame,turn,player_active,opponent_active,weather,terrain,trick_room,tailwind,screens,field_status,actor,pokemon,hp_percent,reference_frame_shows_subject,manual_correction,winner,source,player_team,opponent_team,player_brought,opponent_brought,player_lead,opponent_lead,illegal_species_detected,likely_missed_opponent_species,roster_conflict,roster_conflict_species,target,move,hp_current,hp_max,status
560,battle_start,Battle initiating with Pokemon on field,1.0,1,match_frames\match_1\ocr_00004.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
563,field_state,Turn 1 start. Opponent's Kingambit identified as Heracross.,1.0,1,match_frames\match_1\ocr_00010.jpg,1,"Archaludon, Basculegion","Charizard, Heracross",,,False,,[],[],,,,,,,,,,,,,,,,,,,,,,
563,pokemon_sent_out,Archaludon sent out,1.0,1,match_frames\match_1\ocr_00010.jpg,,,,,,,,,,player,Archaludon,100,True,,,,,,,,,,,,,,,,,,
563,pokemon_sent_out,Basculegion sent out,1.0,1,match_frames\match_1\ocr_00010.jpg,,,,,,,,,,player,Basculegion,100,True,,,,,,,,,,,,,,,,,,
563,pokemon_sent_out,Charizard sent out,1.0,1,match_frames\match_1\ocr_00010.jpg,,,,,,,,,,opponent,Charizard,100,True,,,,,,,,,,,,,,,,,,
563,pokemon_sent_out,Kingambit sent out,1.0,1,match_frames\match_1\ocr_00010.jpg,,,,,,,,,,opponent,Kingambit,100,True,"2026-07-08: this event's own detail text already read 'Kingambit' correctly off-screen but the pipeline substituted the wrong closest-known-roster match (Heracross) because Kingambit wasn't in the roster snapshot locked in before battle events were read (see analyze_matches.py's team-preview roster staleness gap, same root cause as the team_preview.opponent_team fix below). Corrected pokemon/detail/confidence, cleared roster_conflict.",,,,,,,,,,,,,,,,,
602,turn_start,Start of Turn 1,0.8,1,match_frames\match_1\ocr_00082.jpg,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
602,field_state,"Initial field state for Turn 1. Opponent's second Pokemon visually appears as a dark, samurai-like figure (resembling Hisuian Samurott), but reporting closest known team member Garchomp.",0.3,1,match_frames\match_1\ocr_00082.jpg,1,"Archaludon, Basculegion","Charizard, Garchomp",,,False,,,[],,,,,,,,,,,,,,,,,,,,,,
603.0,move_used,Protect,0.95,1,match_frames\match_1\ocr_00087.jpg,,,,,,,,,,,Charizard,,,,,ocr,,,,,,,,,,,,,,,
608.5,move_used,Flip Turn,0.95,1,match_frames\match_1\ocr_00098.jpg,,,,,,,,,,,Basculegion,,,,,ocr,,,,,,,,,,,,,,,
609.0,move_used,Flip Turn,0.95,1,match_frames\match_1\ocr_00099.jpg,,,,,,,,,,,Basculegion,,,,,ocr,,,,,,,,,,,,,,,
620.5,pokemon_sent_out,Pelipper! sent out,0.95,1,match_frames\match_1\ocr_00122.jpg,,,,,,,,,,player,Pelipper,,True,,,ocr,,,,,,,,,,,,,,,
621.0,pokemon_sent_out,Pelipper! a sent out,0.95,1,match_frames\match_1\ocr_00123.jpg,,,,,,,,,,player,Pelipper,,True,,,ocr,,,,,,,,,,,,,,,
624,item_or_ability_activated,Pelipper's Drizzle activated.,1.0,1,match_frames\match_1\ocr_00132.jpg,,,,,,,,,,player,Pelipper,,True,,,,,,,,,,,,,,,,,,
624,field_state,"Field state updated after Pelipper switch-in and Drizzle activation. Opponent's second Pokemon visually appears as a dark, samurai-like figure (resembling Hisuian Samurott), but reporting closest known team member Garchomp.",0.3,1,match_frames\match_1\ocr_00132.jpg,1,"Archaludon, Pelipper","Charizard, Garchomp",Rain,,False,,,[],,,,,,,,,,,,,,,,,,,,,,
624.5,weather_or_terrain_set,It started to rain!,0.95,1,match_frames\match_1\ocr_00130.jpg,,,,,,,,,,,,,,,,ocr,,,,,,,,,,,,,,,
627.0,move_used,Electro Shot,0.95,1,match_frames\match_1\ocr_00135.jpg,,,,,,,,,,,Archaludon,,,,,ocr,,,,,,,,,,,,,,,
633,item_or_ability_activated,Archaludon absorbed electricity!,1.0,1,match_frames\match_1\ocr_00150.jpg,,,,,,,,,,player,Archaludon,,True,,,,,,,,,,,,,,,,,,
