match,start_seconds,end_seconds,duration_seconds
1,560.0,900.0,340.0
2,1050.0,1670.0,620.0
3,1780.0,2060.0,280.0
4,2250.0,2470.0,220.0
5,2510.0,2770.0,260.0
6,2810.0,3090.0,280.0
7,3200.0,3530.0,330.0
8,3650.0,4020.0,370.0
9,4110.0,4270.0,160.0
10,4350.0,4810.0,460.0
11,4930.0,5440.0,510.0
12,5560.0,6260.0,700.0
13,10960.0,11330.0,370.0
14,11430.0,11740.0,310.0
15,11860.0,12180.0,320.0
16,15130.0,15840.0,710.0
17,16010.0,16120.0,110.0
18,16680.0,17170.0,490.0
19,17340.0,17980.0,640.0
20,18650.0,19100.0,450.0
21,19240.0,19770.0,530.0
